"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","extracellular matrix organization","44/394","339/18986",0.129793510324484,6.2544659569052,14.2106617620651,1.49779395509717e-22,2.68615555476442e-19,1.92843972462106e-19,"FOXF2/LAMA1/SFRP2/IL6/DPT/PDGFRA/TCF15/GREM1/BMP2/FAP/ITGB3/FLRT2/MMP1/DPP4/ADAMTS16/PTX3/ECM2/ADAMTS14/NID1/LAMA2/EGFLAM/TNFRSF1B/COL13A1/CCDC80/MMP2/COL4A1/RECK/OLFML2B/CAV1/CTSS/LOXL2/COL1A2/CAV2/ADAMTS6/FERMT1/PPARG/COL4A2/PRICKLE1/MMP14/LOX/TGFBI/ANTXR1/FOXC1/CSGALNACT1",44
"GO:0043062","extracellular structure organization","44/394","340/18986",0.129411764705882,6.23607046879666,14.1821625142487,1.68897378896175e-22,2.68615555476442e-19,1.92843972462106e-19,"FOXF2/LAMA1/SFRP2/IL6/DPT/PDGFRA/TCF15/GREM1/BMP2/FAP/ITGB3/FLRT2/MMP1/DPP4/ADAMTS16/PTX3/ECM2/ADAMTS14/NID1/LAMA2/EGFLAM/TNFRSF1B/COL13A1/CCDC80/MMP2/COL4A1/RECK/OLFML2B/CAV1/CTSS/LOXL2/COL1A2/CAV2/ADAMTS6/FERMT1/PPARG/COL4A2/PRICKLE1/MMP14/LOX/TGFBI/ANTXR1/FOXC1/CSGALNACT1",44
"GO:0045229","external encapsulating structure organization","44/394","341/18986",0.129032258064516,6.21778287211397,14.1537771946245,1.90372470217181e-22,2.68615555476442e-19,1.92843972462106e-19,"FOXF2/LAMA1/SFRP2/IL6/DPT/PDGFRA/TCF15/GREM1/BMP2/FAP/ITGB3/FLRT2/MMP1/DPP4/ADAMTS16/PTX3/ECM2/ADAMTS14/NID1/LAMA2/EGFLAM/TNFRSF1B/COL13A1/CCDC80/MMP2/COL4A1/RECK/OLFML2B/CAV1/CTSS/LOXL2/COL1A2/CAV2/ADAMTS6/FERMT1/PPARG/COL4A2/PRICKLE1/MMP14/LOX/TGFBI/ANTXR1/FOXC1/CSGALNACT1",44
"GO:0045785","positive regulation of cell adhesion","40/394","499/18986",0.0801603206412826,3.86275088247561,9.43389342532975,2.65975634024833e-13,2.8146871470678e-10,2.02071488270972e-10,"VNN1/SAA1/LAMA1/SFRP2/IL6/VCAM1/TNFSF18/EBI3/TEK/ITGB3/PDCD1LG2/SIRPB1/GLI2/ETS1/CD70/IL1B/LIMS2/DPP4/IL7R/CHST2/ECM2/HLA-DOB/NID1/LAMA2/EGFLAM/EMILIN2/RUNX3/SFRP1/CCDC80/CAV1/ADAM19/HLX/EDIL3/IL15/CD274/FERMT1/LYN/TGM2/SIRPA/TGFBR2",40
"GO:0072001","renal system development","28/394","332/18986",0.0843373493975904,4.06403278086967,8.19911200644536,3.67308117738849e-10,3.1096305247771e-07,2.23246007560433e-07,"SERPINB7/PDGFRA/GREM1/BMP2/TEK/ITGB3/GLI2/FGF2/ADAMTS16/BICC1/PDGFRB/NID1/SIM1/AKR1B1/STRA6/VANGL2/SFRP1/MEF2C/COL4A1/MME/PRDM1/PCSK9/ADAMTS6/CYP26B1/PRICKLE1/FOXC1/FBN1/ANKS6",28
"GO:0006935","chemotaxis","33/394","472/18986",0.0699152542372881,3.3690634947948,7.58731171039629,1.25252093887797e-09,8.42675024635921e-07,6.04971662780884e-07,"SAA1/CXCL6/IL6/VCAM1/CH25H/PDGFRA/CCL26/PTN/GREM1/S1PR1/CCL20/ITGB3/FLRT2/IL1B/DPP4/FGF2/PDGFRB/CXCL2/CXCL3/DOCK2/MMP2/FOSL1/RIN3/NRP2/PLAU/SERPINE1/ITGA1/MPP1/LYN/SEMA3A/ROBO3/LOX/CMTM7",33
"GO:0042330","taxis","33/394","474/18986",0.069620253164557,3.35484803701086,7.55815410871824,1.39350937218319e-09,8.42675024635921e-07,6.04971662780884e-07,"SAA1/CXCL6/IL6/VCAM1/CH25H/PDGFRA/CCL26/PTN/GREM1/S1PR1/CCL20/ITGB3/FLRT2/IL1B/DPP4/FGF2/PDGFRB/CXCL2/CXCL3/DOCK2/MMP2/FOSL1/RIN3/NRP2/PLAU/SERPINE1/ITGA1/MPP1/LYN/SEMA3A/ROBO3/LOX/CMTM7",33
"GO:0045765","regulation of angiogenesis","28/394","360/18986",0.0777777777777778,3.74794134235759,7.66283131553685,2.2897931928822e-09,1.21158682318379e-06,8.69820124717225e-07,"SFRP2/IL6/GREM1/MIR221/TEK/ITGB3/ETS1/IL1B/FGF2/PTGIS/CHI3L1/EMILIN2/HMGA2/SFRP1/ADAM12/RECK/AKT3/SERPINE1/ZNF354C/SPARC/PPARG/COL4A2/PTPRM/TLR3/C3/TGM2/FOXC1/TGFBR2",28
"GO:1903053","regulation of extracellular matrix organization","13/394","74/18986",0.175675675675676,8.4654273562903,9.36681969426213,3.6192080689329e-09,1.40516841512056e-06,1.00879585573329e-06,"LAMA1/IL6/TCF15/BMP2/FAP/ITGB3/DPP4/NID1/LAMA2/TNFRSF1B/RECK/PPARG/ANTXR1",13
"GO:0071711","basement membrane organization","10/394","38/18986",0.263157894736842,12.6810045418114,10.492540624581,3.72240417381847e-09,1.40516841512056e-06,1.00879585573329e-06,"LAMA1/FLRT2/NID1/LAMA2/COL4A1/CAV1/CTSS/CAV2/FERMT1/PRICKLE1",10
"GO:1901342","regulation of vasculature development","28/394","369/18986",0.0758807588075881,3.65652813888545,7.50175904300038,3.95986423912733e-09,1.40516841512056e-06,1.00879585573329e-06,"SFRP2/IL6/GREM1/MIR221/TEK/ITGB3/ETS1/IL1B/FGF2/PTGIS/CHI3L1/EMILIN2/HMGA2/SFRP1/ADAM12/RECK/AKT3/SERPINE1/ZNF354C/SPARC/PPARG/COL4A2/PTPRM/TLR3/C3/TGM2/FOXC1/TGFBR2",28
"GO:0001822","kidney development","26/394","322/18986",0.0807453416149068,3.89094176624523,7.61649695489472,3.98346822146155e-09,1.40516841512056e-06,1.00879585573329e-06,"SERPINB7/PDGFRA/GREM1/BMP2/TEK/ITGB3/GLI2/FGF2/ADAMTS16/BICC1/PDGFRB/NID1/SIM1/AKR1B1/STRA6/VANGL2/SFRP1/MEF2C/MME/PRDM1/PCSK9/ADAMTS6/CYP26B1/FOXC1/FBN1/ANKS6",26
"GO:0032496","response to lipopolysaccharide","27/394","354/18986",0.076271186440678,3.6753419943216,7.39676048795079,6.78213804494836e-09,2.20056908372666e-06,1.57982840208359e-06,"PTGS2/SNCA/CXCL6/IL6/VCAM1/CSF2/PTGFR/TNIP3/PDCD1LG2/IL1B/IDO1/CXCL2/CXCL3/CASP1/GSTP1/TNFRSF1B/MEF2C/AXL/SERPINE1/CD14/CD274/VIM/LYN/PLSCR4/DIO2/BIN1/SIRPA",27
"GO:0050900","leukocyte migration","29/394","404/18986",0.0717821782178218,3.45902648640499,7.27273925852927,7.2780456348153e-09,2.20056908372666e-06,1.57982840208359e-06,"SAA1/CXCL6/IL6/VCAM1/TNFSF18/CH25H/CCL26/PTN/GREM1/S1PR1/CCL20/ITGB3/ASB2/IL1B/DPP4/CHST2/CXCL2/CXCL3/CD177/MMP2/RIN3/MSN/SERPINE1/ITGA1/MPP1/LYN/MMP14/GNAI1/SIRPA",29
"GO:0050673","epithelial cell proliferation","32/394","482/18986",0.0663900414937759,3.19919118731175,7.1194107834216,7.89419837789378e-09,2.22774278224162e-06,1.5993368924196e-06,"DLX6/SFRP2/IL6/CCL26/PTN/TEK/FAP/ITGB3/A4GNT/LIMS2/FGF2/ZEB2/RUNX3/SFRP1/MEF2C/FST/SNAI2/AKT3/CAV1/HLX/LOXL2/NRP2/CAV2/STAT5A/ZEB1/SPARC/FERMT1/PPARG/PTPRM/MMP14/IGFBP3/EGFR",32
"GO:0071222","cellular response to lipopolysaccharide","21/394","228/18986",0.0921052631578947,4.43835158963398,7.60352183711723,1.31359978947181e-08,3.47529244302135e-06,2.49497538960862e-06,"PTGS2/CXCL6/IL6/CSF2/TNIP3/PDCD1LG2/IL1B/CXCL2/CXCL3/CASP1/GSTP1/TNFRSF1B/MEF2C/AXL/SERPINE1/CD14/CD274/VIM/LYN/PLSCR4/SIRPA",21
